STATISTIC Label,Property Type,Location,Region,VALUE,YEAR,QUARTER
RTB Average Monthly Rent Report,Detached house,Carlow,SouthEast,819.2,2019,1
RTB Average Monthly Rent Report,Detached house,Cavan,NorthEast,658.13,2019,1
RTB Average Monthly Rent Report,Detached house,Clare,MidWest,717.94,2019,1
RTB Average Monthly Rent Report,Detached house,Cork,SouthWest,1055.5,2019,1
RTB Average Monthly Rent Report,Detached house,Donegal,NorthWest,575.25,2019,1
RTB Average Monthly Rent Report,Detached house,Dublin,Dublin,2272.62,2019,1
RTB Average Monthly Rent Report,Detached house,Galway,West,998.4,2019,1
RTB Average Monthly Rent Report,Detached house,Kerry,SouthWest,731.2,2019,1
RTB Average Monthly Rent Report,Detached house,Kildare,MidEast,1382.83,2019,1
RTB Average Monthly Rent Report,Detached house,Kilkenny,SouthEast,864.46,2019,1
RTB Average Monthly Rent Report,Detached house,Laois,Midlands,894.9,2019,1
RTB Average Monthly Rent Report,Detached house,Leitrim,NorthWest,552.3,2019,1
RTB Average Monthly Rent Report,Detached house,Limerick,MidWest,968.52,2019,1
RTB Average Monthly Rent Report,Detached house,Longford,Midlands,666.14,2019,1
RTB Average Monthly Rent Report,Detached house,Louth,NorthEast,1137.27,2019,1
RTB Average Monthly Rent Report,Detached house,Mayo,West,677.77,2019,1
RTB Average Monthly Rent Report,Detached house,Meath,MidEast,1197.53,2019,1
RTB Average Monthly Rent Report,Detached house,Monaghan,NorthEast,645.7,2019,1
RTB Average Monthly Rent Report,Detached house,Offaly,Midlands,751.81,2019,1
RTB Average Monthly Rent Report,Detached house,Roscommon,West,649.66,2019,1
RTB Average Monthly Rent Report,Detached house,Sligo,NorthWest,729.39,2019,1
RTB Average Monthly Rent Report,Detached house,Tipperary,MidWest,711.5,2019,1
RTB Average Monthly Rent Report,Detached house,Waterford,SouthEast,833.81,2019,1
RTB Average Monthly Rent Report,Detached house,Westmeath,Midlands,819.76,2019,1
RTB Average Monthly Rent Report,Detached house,Wexford,SouthEast,814.38,2019,1
RTB Average Monthly Rent Report,Detached house,Wicklow,MidEast,1386.34,2019,1
RTB Average Monthly Rent Report,Semi detached house,Carlow,SouthEast,813.66,2019,1
RTB Average Monthly Rent Report,Semi detached house,Cavan,NorthEast,667.15,2019,1
RTB Average Monthly Rent Report,Semi detached house,Clare,MidWest,762.16,2019,1
RTB Average Monthly Rent Report,Semi detached house,Cork,SouthWest,1100.36,2019,1
RTB Average Monthly Rent Report,Semi detached house,Donegal,NorthWest,596.83,2019,1
RTB Average Monthly Rent Report,Semi detached house,Dublin,Dublin,1856.22,2019,1
RTB Average Monthly Rent Report,Semi detached house,Galway,West,1067.76,2019,1
RTB Average Monthly Rent Report,Semi detached house,Kerry,SouthWest,752.88,2019,1
RTB Average Monthly Rent Report,Semi detached house,Kildare,MidEast,1256.15,2019,1
RTB Average Monthly Rent Report,Semi detached house,Kilkenny,SouthEast,870.13,2019,1
RTB Average Monthly Rent Report,Semi detached house,Laois,Midlands,845.94,2019,1
RTB Average Monthly Rent Report,Semi detached house,Leitrim,NorthWest,559.31,2019,1
RTB Average Monthly Rent Report,Semi detached house,Limerick,MidWest,1003.83,2019,1
RTB Average Monthly Rent Report,Semi detached house,Longford,Midlands,630.37,2019,1
RTB Average Monthly Rent Report,Semi detached house,Louth,NorthEast,1066.59,2019,1
RTB Average Monthly Rent Report,Semi detached house,Mayo,West,660.38,2019,1
RTB Average Monthly Rent Report,Semi detached house,Meath,MidEast,1209.66,2019,1
RTB Average Monthly Rent Report,Semi detached house,Monaghan,NorthEast,714.98,2019,1
RTB Average Monthly Rent Report,Semi detached house,Offaly,Midlands,800.2,2019,1
RTB Average Monthly Rent Report,Semi detached house,Roscommon,West,639.8,2019,1
RTB Average Monthly Rent Report,Semi detached house,Sligo,NorthWest,723.37,2019,1
RTB Average Monthly Rent Report,Semi detached house,Tipperary,MidWest,722.19,2019,1
RTB Average Monthly Rent Report,Semi detached house,Waterford,SouthEast,825.58,2019,1
RTB Average Monthly Rent Report,Semi detached house,Westmeath,Midlands,833.05,2019,1
RTB Average Monthly Rent Report,Semi detached house,Wexford,SouthEast,783.83,2019,1
RTB Average Monthly Rent Report,Semi detached house,Wicklow,MidEast,1301.76,2019,1
RTB Average Monthly Rent Report,Terrace house,Carlow,SouthEast,753.14,2019,1
RTB Average Monthly Rent Report,Terrace house,Cavan,NorthEast,622.12,2019,1
RTB Average Monthly Rent Report,Terrace house,Clare,MidWest,693.24,2019,1
RTB Average Monthly Rent Report,Terrace house,Cork,SouthWest,1068.02,2019,1
RTB Average Monthly Rent Report,Terrace house,Donegal,NorthWest,515.75,2019,1
RTB Average Monthly Rent Report,Terrace house,Dublin,Dublin,1782.22,2019,1
RTB Average Monthly Rent Report,Terrace house,Galway,West,1084.39,2019,1
RTB Average Monthly Rent Report,Terrace house,Kerry,SouthWest,696.9,2019,1
