"STATISTIC Label","Quarter","Number of Bedrooms","Property Type","Location","UNIT","VALUE"
"RTB Average Monthly Rent Report","2019Q1","All bedrooms","All property types","Carlow","Euro","774.06"
"RTB Average Monthly Rent Report","2019Q1","All bedrooms","All property types","Cavan","Euro","618.44"
"RTB Average Monthly Rent Report","2019Q1","All bedrooms","All property types","Clare","Euro","704.55"
"RTB Average Monthly Rent Report","2019Q1","All bedrooms","All property types","Cork","Euro","1051.68"
"RTB Average Monthly Rent Report","2019Q1","All bedrooms","All property types","Donegal","Euro","562.03"
"RTB Average Monthly Rent Report","2019Q1","All bedrooms","All property types","Dublin","Euro","1651.35"
"RTB Average Monthly Rent Report","2019Q1","All bedrooms","All property types","Galway","Euro","1035.3"
"RTB Average Monthly Rent Report","2019Q1","All bedrooms","All property types","Kerry","Euro","709.32"
"RTB Average Monthly Rent Report","2019Q1","All bedrooms","All property types","Kildare","Euro","1181.31"
"RTB Average Monthly Rent Report","2019Q1","All bedrooms","All property types","Kilkenny","Euro","852.4"
"RTB Average Monthly Rent Report","2019Q1","All bedrooms","All property types","Laois","Euro","823.46"
"RTB Average Monthly Rent Report","2019Q1","All bedrooms","All property types","Leitrim","Euro","537.35"
"RTB Average Monthly Rent Report","2019Q1","All bedrooms","All property types","Limerick","Euro","946.32"
"RTB Average Monthly Rent Report","2019Q1","All bedrooms","All property types","Longford","Euro","602.51"
"RTB Average Monthly Rent Report","2019Q1","All bedrooms","All property types","Louth","Euro","1005.47"
"RTB Average Monthly Rent Report","2019Q1","All bedrooms","All property types","Mayo","Euro","642.08"
"RTB Average Monthly Rent Report","2019Q1","All bedrooms","All property types","Meath","Euro","1128.39"
"RTB Average Monthly Rent Report","2019Q1","All bedrooms","All property types","Monaghan","Euro","647.64"
"RTB Average Monthly Rent Report","2019Q1","All bedrooms","All property types","Offaly","Euro","730.5"
"RTB Average Monthly Rent Report","2019Q1","All bedrooms","All property types","Roscommon","Euro","621.8"
"RTB Average Monthly Rent Report","2019Q1","All bedrooms","All property types","Sligo","Euro","698.97"
"RTB Average Monthly Rent Report","2019Q1","All bedrooms","All property types","Tipperary","Euro","666.54"
"RTB Average Monthly Rent Report","2019Q1","All bedrooms","All property types","Waterford","Euro","760.17"
"RTB Average Monthly Rent Report","2019Q1","All bedrooms","All property types","Westmeath","Euro","796.06"
"RTB Average Monthly Rent Report","2019Q1","All bedrooms","All property types","Wexford","Euro","746.53"
"RTB Average Monthly Rent Report","2019Q1","All bedrooms","All property types","Wicklow","Euro","1217.3"
"RTB Average Monthly Rent Report","2019Q1","All bedrooms","Detached house","Carlow","Euro","819.2"
"RTB Average Monthly Rent Report","2019Q1","All bedrooms","Detached house","Cavan","Euro","658.13"
"RTB Average Monthly Rent Report","2019Q1","All bedrooms","Detached house","Clare","Euro","717.94"
"RTB Average Monthly Rent Report","2019Q1","All bedrooms","Detached house","Cork","Euro","1055.5"
